"Code","Name","Continent","Region","SurfaceArea","IndepYear","Population","LifeExpectancy","GNP","GNPOld","LocalName","GovernmentForm","HeadOfState","Capital","Code2","ID","Name","CountryCode","District","Population"
"AFG","Afghanistan","Asia","Southern and Central Asia",652090.00,1919,22720000,45.9,5976.00,NULL,"Afganistan/Afqanestan","Islamic Emirate","Mohammad Omar",1,"AF",1,"Kabul","AFG","Kabol",1780000
"AFG","Afghanistan","Asia","Southern and Central Asia",652090.00,1919,22720000,45.9,5976.00,NULL,"Afganistan/Afqanestan","Islamic Emirate","Mohammad Omar",1,"AF",2,"Qandahar","AFG","Qandahar",237500
"AFG","Afghanistan","Asia","Southern and Central Asia",652090.00,1919,22720000,45.9,5976.00,NULL,"Afganistan/Afqanestan","Islamic Emirate","Mohammad Omar",1,"AF",3,"Herat","AFG","Herat",186800
"AFG","Afghanistan","Asia","Southern and Central Asia",652090.00,1919,22720000,45.9,5976.00,NULL,"Afganistan/Afqanestan","Islamic Emirate","Mohammad Omar",1,"AF",4,"Mazar-e-Sharif","AFG","Balkh",127800
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",5,"Amsterdam","NLD","Noord-Holland",731200
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",6,"Rotterdam","NLD","Zuid-Holland",593321
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",7,"Haag","NLD","Zuid-Holland",440900
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",8,"Utrecht","NLD","Utrecht",234323
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",9,"Eindhoven","NLD","Noord-Brabant",201843
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",10,"Tilburg","NLD","Noord-Brabant",193238
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",11,"Groningen","NLD","Groningen",172701
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",12,"Breda","NLD","Noord-Brabant",160398
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",13,"Apeldoorn","NLD","Gelderland",153491
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",14,"Nijmegen","NLD","Gelderland",152463
"NLD","Netherlands","Europe","Western Europe",41526.00,1581,15864000,78.3,371362.00,360478.00,"Nederland","Constitutional Monarchy","Beatrix",5,"NL",15,"Enschede","NLD","Overijssel",149544
